pool,chain,project,symbol,tvlUsd,apyBase,apyReward,apy,rewardTokens,apyPct1D,apyPct7D,apyPct30D,stablecoin,ilRisk,exposure,poolMeta,mu,sigma,count,outlier,underlyingTokens,il7d,apyBase7d,apyMean30d,volumeUsd1d,volumeUsd7d,apyBaseInception,predictedClass,predictedProbability,binnedConfidence
eab8d63d-8a8f-48cb-8027-583508831d24,Ethereum,morpho-aave,STETH,303580660,0.0,,0.0,,0.0,0.0,0.0,False,no,single,,0.0,0.0,301,False,['0xae7ab96520de3a18e5e111b5eaab095312d7fe84'],,,0.0,,,,,,
e880e828-ca59-4ec6-8d4f-27182a4dc23d,Ethereum,aave-v3,WETH,298596275,1.38201,,1.38201,,-0.39894,-0.52107,-0.35112,False,no,single,,1.92491,0.01628,184,False,['0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2'],,,1.7627,,,,Stable/Up,92.0,3.0
7be52986-18c2-450f-b74b-d65fb1205bbf,Ethereum,morpho-aave,WETH,205864982,2.82076,,2.82076,,-0.04836,-0.16039,0.6493,False,no,single,,2.43522,0.02312,301,False,['0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2'],,,2.48499,,,,Stable/Up,74.0,2.0
5ce23e7e-3800-4c9c-ad30-6db3db0515a1,Ethereum,convex-finance,ETH-STETH,190208243,2.20125,0.51803,2.71928,"['0xd533a949740bb3306d119cc777fa900ba034cd52', '0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b', '0x5A98FcBEA516Cf06857215779Fd812CA3beF1B32']",0.1597,-0.19371,0.4919,False,no,multi,,5.49988,0.10114,545,False,"['0xEeeeeEeeeEeEeeEeEeEeeEEEeeeeEeeeeeeeEEeE', '0xae7ab96520DE3A18E5e111B5EaAb095312D7fE84']",,,2.49927,,,,Stable/Up,87.0,3.0
66958f46-1d06-4f83-9fab-bbec354049d8,Ethereum,stakewise,SETH2,153524601,,,3.942,,-0.099,-0.081,-0.369,False,no,single,,5.14048,0.0502,205,False,['0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2'],,,4.37265,,,,Stable/Up,57.99999999999999,1.0
1158e728-ec4c-44e4-9345-0eb326862516,Ethereum,curve-dex,ETH-FRXETH,143946336,0.08461,1.50701,1.59162,['0xD533a949740bb3306d119CC777fa900bA034cd52'],0.00629,-2.23696,-0.21822,False,no,multi,,1.86412,0.05658,293,False,"['0xEeeeeEeeeEeEeeEeEeEeeEEEeeeeEeeeeeeeEEeE', '0x5E8422345238F34275888049021821E8E08CAa1f']",-1e-05,,1.79576,,,,Stable/Up,63.0,2.0
6d342d6a-9796-443e-8152-b94e8b6021fc,Ethereum,convex-finance,ETH-FRXETH,142063605,0.08461,2.37327,2.45788,"['0xd533a949740bb3306d119cc777fa900ba034cd52', '0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b']",-0.00198,-3.37211,-0.65961,False,no,multi,,3.5439,0.03194,128,False,"['0xEeeeeEeeeEeEeeEeEeEeeEEEeeeeEeeeeeeeEEeE', '0x5E8422345238F34275888049021821E8E08CAa1f']",,,3.04823,,,,Stable/Up,86.0,3.0
acb09b67-8509-4e2a-adb4-4ce520084714,Ethereum,yearn-finance,WETH,109921580,,,0.55469,,0.0157,-2.30944,-2.29968,False,no,single,,2.19302,0.09578,501,False,['0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2'],,,2.59173,,,,Stable/Up,97.0,3.0
423681e3-4787-40ce-ae43-e9f67c5269b3,Ethereum,origin-ether,OETH,82172396,,,6.71559,,-0.00701,-0.37302,-1.72128,False,no,single,,8.56735,0.05799,72,False,"['0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2', '0xae7ab96520DE3A18E5e111B5EaAb095312D7fE84', '0xae78736Cd615f374D3085123A210448E74Fc6393', '0x5e8422345238f34275888049021821e8e08caa1f']",,,7.56232,,,,Stable/Up,65.0,2.0
d5a5e303-325e-4b01-a2dc-96494eef2f8b,Ethereum,fraxlend,SFRXETH,81573529,2.71298,,2.71298,,0.0804,0.10759,0.33471,False,no,single,,2.52048,0.01023,36,False,['0xac3E018457B222d93114458476f3E3416Abbe38F'],,,2.51888,,,,Stable/Up,66.0,2.0
e201dbed-63fa-48e2-bfa2-f56e730167d2,Ethereum,ankr,ANKRETH,74462835,,,3.63826,,0.0,-1.18676,-0.27465,False,no,single,,4.1723,0.04345,427,False,['0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2'],,,4.00517,,,,Stable/Up,52.0,1.0
e72916f7-a2d1-47ad-a4b9-2b054337cfd6,Ethereum,instadapp,ETH,72841907,,,5.62838,,0.06364,0.0117,-0.46804,False,no,single,,8.10158,0.20457,170,False,['0xEeeeeEeeeEeEeeEeEeEeeEEEeeeeEeeeeeeeEEeE'],,,6.15943,,,,Down,56.99999999999999,1.0
80b8bf92-b953-4c20-98ea-c9653ef2bb98,Ethereum,binance-staked-eth,WBETH,72804943,4.18619,,4.18619,,-0.42048,-1.43919,-0.09197,False,no,single,,4.32869,0.02087,55,False,['0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2'],,,4.33111,,,,Stable/Up,56.00000000000001,1.0
ca969cae-bbcb-4cd7-985e-be4df9815e15,Ethereum,compound-v3,WSTETH,61447482,,,0.0,,0.0,0.0,0.0,False,no,single,ETH-pool,0.0,0.0,196,False,['0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0'],,,0.0,,,,,,
42c02674-f7a2-4cb0-be3d-ade268838770,Ethereum,balancer-v2,RETH-WETH,60585388,0.46704,2.41733,2.88437,['0xba100000625a3754423978a60c9317c58a424e3d'],-2.02286,0.37833,0.54802,False,no,multi,,3.42317,0.14682,544,False,"['0xae78736cd615f374d3085123a210448e74fc6393', '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2']",-0.00058,,2.49774,,,,Stable/Up,74.0,2.0
f1a22245-a1f1-4389-8ff2-dde4914b272d,Ethereum,aave-v3,RETH,57207467,0.04185,,0.04185,,0.03764,0.03953,0.04035,False,no,single,,0.09601,0.01304,177,False,['0xae78736Cd615f374D3085123A210448E74Fc6393'],,,0.00386,,,,Stable/Up,78.0,3.0
08eaf098-4957-4922-bfca-cc0c46505a43,Ethereum,curve-dex,ETH-STETH,54977472,2.75391,1.8413,4.5952,['0xD533a949740bb3306d119CC777fa900bA034cd52'],-0.03281,-5.8951,1.91214,False,no,multi,,3.84585,0.09986,83,False,"['0xEeeeeEeeeEeEeeEeEeEeeEEEeeeeEeeeeeeeEEeE', '0xae7ab96520DE3A18E5e111B5EaAb095312D7fE84']",-1e-05,,4.70831,,,,Down,73.0,2.0
